quest,Choice_US_Car,Choice_US_Train,Car_Cost,Car_TT,Train_Cost,Train_TT
120,0,1,130,420,74,547
121,1,0,130,465,92,705
122,1,0,118,420,74,547
123,1,0,165,510,115,862
124,1,0,118,465,92,705
125,0,1,165,510,74,547
126,0,1,165,510,115,862
127,1,0,130,465,74,547
128,1,0,118,420,115,862
129,1,0,165,465,92,705
130,1,0,165,465,115,862
131,1,0,118,420,74,547
132,1,0,130,510,92,705
133,1,0,118,510,92,705
134,1,0,130,420,74,547
135,0,1,130,465,74,547
136,1,0,130,420,74,547
137,1,0,118,465,115,862
138,0,1,118,465,92,705
139,0,1,165,510,74,547
140,1,0,165,510,74,547
141,1,0,118,465,92,705
142,1,0,130,420,115,862
143,0,1,165,420,74,547
144,1,0,118,465,74,547
145,1,0,130,420,115,862
146,1,0,165,510,92,705
147,1,0,118,465,74,547
148,1,0,165,420,115,862
149,1,0,130,510,92,705
150,1,0,165,510,92,705
151,1,0,130,420,74,547
152,1,0,118,465,115,862
153,0,1,165,465,74,547
154,0,1,118,510,115,862
155,0,1,130,465,92,705
156,0,1,130,510,92,705
157,0,1,118,420,74,547
158,1,0,165,510,92,705
159,0,1,118,465,74,547
160,0,1,130,420,115,862
161,1,0,118,465,74,547
162,0,1,165,420,92,705
163,0,1,165,420,92,705
164,0,1,118,510,115,862
165,1,0,130,465,115,862
166,1,0,165,510,92,705
167,1,0,118,420,74,547
168,1,0,130,510,115,862
169,1,0,118,420,92,705
170,1,0,165,510,115,862
171,1,0,130,465,74,547
172,0,1,130,465,74,547
173,0,1,118,420,74,547
174,1,0,130,420,92,705
175,0,1,118,510,74,547
176,0,1,165,465,115,862
177,0,1,165,510,74,547
178,1,0,130,465,92,705
179,0,1,118,510,74,547
180,1,0,165,420,115,862
