quest,Choice_US_Car,Choice_US_Train,Car_Cost,Car_TT,Train_Cost,Train_TT
60,1,0,165,465,92,705
61,1,0,118,465,115,862
62,1,0,165,510,92,705
63,1,0,130,465,74,547
64,1,0,165,510,115,862
65,1,0,130,420,74,547
66,0,1,130,465,74,547
67,1,0,118,510,92,705
68,0,1,130,420,115,862
69,0,1,130,420,92,705
70,0,1,118,465,74,547
71,0,1,165,510,115,862
72,0,1,165,420,115,862
73,1,0,118,465,92,705
74,0,1,130,420,74,547
75,1,0,165,465,74,547
76,1,0,130,510,92,705
77,1,0,118,420,115,862
78,0,1,118,420,74,547
79,0,1,165,420,92,705
80,0,1,118,510,92,705
81,0,1,130,465,115,862
82,1,0,118,510,74,547
83,1,0,130,465,92,705
84,1,0,165,420,115,862
85,0,1,130,420,92,705
86,0,1,118,510,74,547
87,0,1,130,420,115,862
88,0,1,165,465,92,705
89,1,0,165,510,115,862
90,1,0,130,420,92,705
91,1,0,118,465,74,547
92,1,0,165,510,92,705
93,1,0,118,420,74,547
94,0,1,165,420,74,547
95,1,0,118,510,115,862
96,1,0,165,465,92,705
97,1,0,130,420,74,547
98,1,0,118,510,74,547
99,1,0,130,465,115,862
100,0,1,130,465,74,547
101,1,0,130,420,92,705
102,1,0,118,465,74,547
103,1,0,165,510,115,862
104,0,1,165,510,74,547
105,1,0,118,510,115,862
106,1,0,130,420,74,547
107,1,0,165,465,92,705
108,0,1,165,465,115,862
109,0,1,130,510,74,547
110,0,1,118,465,92,705
111,1,0,165,465,115,862
112,0,1,130,420,92,705
113,0,1,118,510,74,547
114,1,0,165,465,115,862
115,0,1,130,420,92,705
116,0,1,130,465,115,862
117,0,1,118,420,92,705
118,0,1,165,510,74,547
119,0,1,165,465,92,705
